Timestamp,ManCameraGirlEmoji,EmojiChar,CastleManEmoji,EmojiChar2,ManMoneyEmoji,EmojiChar3,Sentence,ManCameraGirlWords,Sentence2,CastleManWords,Sentence3,ManMoneyWords
11/15/2016 21:56:14,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photo shoot in a storm,camera,Castle tour,castle,Bookie,man
11/15/2016 17:17:42,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Look a random beach photo shoot. ,camera,Go to the castle they said. You'll love it they said. ,castle,I'm Dr. Nick Riviera!,man
11/16/2016 4:45:57,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,fashion photo shooting at rocky beach,camera,"probably British manor, some tourists",castle man,b/w photo of cashier with prominent clock at the wall,man
11/15/2016 13:43:25,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photoshoot by the water,camera,Mansion,castle,Old photo doctor with cash,man money
11/15/2016 13:25:27,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,modeling shoot on a beach,camera,castle on a clear day,castle,man counting money,man money
11/15/2016 17:10:13,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,photo op on the coast,camera,mansion with huge driveway,castle,doctor with magazine,man money
11/15/2016 18:53:48,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photoshoot,camera,Castle,castle,Counting money,man money
11/15/2016 23:36:01,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photograph session at the shore,camera,Old Palace with tourists,castle man,Shoopkeeper counting money,man money
11/15/2016 11:53:43,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Model shoot on the beach,camera,Historic house with dude in the foreground,castle man,Old-timey photo of man counting money,man money
11/15/2016 13:30:32,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photoshoot on the beach ,girl camera,A large building with a pedestrian in front,castle man,A man counting money at a desk,man money
11/15/2016 14:57:29,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photo shoot is happening.,camera,There's a big building and a guy is walking past it,castle man,A guy is counting money,man money
11/15/2016 12:06:09,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photoshoot by the sea,camera,A man walking next to a mansion,man castle,A man counting money,man money
11/15/2016 16:50:21,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photography shoot on the beach,camera,Man walking by building,man castle,Man counting money,man money
11/15/2016 23:28:04,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Cold Photo shoot,camera,Frech castle,castle,Counting money at the end of the day,money
11/16/2016 3:50:58,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,photo shoot,camera,big castle,castle,counting bills,money
11/16/2016 1:44:15,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photo set,camera,Panoramic,,Cash counting,money
11/16/2016 2:00:56,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A day's shooting,camera,An English country house,castle,Black-and-white photo of man counting money,man money
11/16/2016 1:42:43,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Photoshoot at the beach,camera,Seeing a castle,castle,Cashier counting money,man money
11/15/2016 16:53:55,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Photo shoot at a beach,camera,"A Castle, some people on the right side",castle man,Man counting money,man money
11/16/2016 0:25:38,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,photoshoot at the beach,camera,Man walking by a mansion,man castle,man counting money,man money
11/15/2016 16:39:57,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,take photo,camera,out of building,castle,count money,money
11/16/2016 2:13:58,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Photo session,camera,Big house,castle,Counting money,money
11/15/2016 13:54:42,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photographing a woman ,camera girl,Man in front of castle ,man castle,Guy counting money ,man money
11/16/2016 3:30:51,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photo seassion of a women at the beach,camera girl,Man standing or leaving a castel ,man castle,Shopman counting money ,man money
11/15/2016 13:24:02,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photoshoot of a lady in the beach,camera girl,Man walking away from building,man castle,Man counting money,man money
11/15/2016 23:46:11,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photoshoot with a model in the beach.,camera girl,Someone walking near a big house.,man castle,A man counting money.,man money
11/16/2016 1:25:24,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photographing a model in the beach ,camera girl,A castle ,castle,Classic working,
11/15/2016 12:17:56,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,"Cute photoshoot, she's happy ",camera girl,He's standing next to an ancient building ,man castle,A doctor being accountant lol,man
11/15/2016 15:18:33,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A photoshoot of a model in the beach,camera girl,A picturesque scene with a classic house,castle,A man is counting bills in front of a cashier,man money
11/18/2016 2:24:17,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Photographing a model at the beach ,camera girl,A really big house,castle,A guy counting money,man money
11/15/2016 18:24:01,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Photoshoot of a woman by man,camera girl man,Man walking by a castle,man castle,Man counting money,man money
11/15/2016 12:18:58,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Woman posing in front of screen,girl,Man standing near castle,man castle,Scientist counting money at desk,man money
11/15/2016 13:13:36,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A model is being photographed on a stormy-looking beach.,girl camera,"A big, elegant building.",castle,A dude in a lab-coat reading something.,man
11/15/2016 13:13:21,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A model is photographed on the beach.,girl camera,There is a big building (chateau?) with tiny people.,castle man,A clerk counts pieces of paper (tickets or money).,man
11/16/2016 6:22:24,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,model at a photoshoot on a beach,girl camera,castle with people walking past,castle man,person in lab coat at cash register,man
11/15/2016 12:05:39,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman is being photographed on a beach.,girl camera,A man in a red shirt walks near a large stone building,man castle,"A man sits behind an old-fashioned cash register in a grainy, black and white photo",man
11/15/2016 15:22:16,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,women taking picture ,girl camera,a house,castle,man counting money,man money
11/15/2016 23:28:10,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman is professionally photographed at the beach shore,girl camera,Big house,castle,Doctor counting money ,man money
11/15/2016 13:30:02,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman is being photographed on the beach.,girl camera,There's a castle-like house.,castle,A man is counting money.,man money
11/15/2016 13:55:59,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,woman model having picture taken,girl camera,fancy house or castle,castle,man counting money,man money
11/15/2016 15:18:51,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Girl is photographed at the beach ,girl camera,"Big, old, beautiful castle ",castle,Guy counting money ,man money
11/15/2016 13:11:08,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A model is photographed on the beach.,girl camera,A huge mansion! Also there's a dude.,castle man,A teller counting money.,man money
11/15/2016 13:15:27,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman is being photographed on a beach. ,girl camera,A man in a red shirt is walking next to a large house. ,castle man,A man is counting money at a desk. ,man money
11/15/2016 23:22:54,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A female model in a photoshoot,girl camera,A person walking in front of a building,castle man,A man counting money,man money
11/15/2016 13:27:40,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,a woman is getting her picture taken,girl camera,There's a large castle and a man walks in front of it,castle man,A man counts money ,man money
11/15/2016 13:37:35,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Model being photographed on the beach,girl camera,A large house with a gravel drive and a couple of people walking by,castle man,A man seated at a cash register fans a stack of money.,man money
11/15/2016 13:47:23,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,"Woman being photographed on the seashore in a windy, cloudy day",girl camera,Big mansion with some people walking in front of it,castle man,Clerk wearing a beanie and counting banknotes under a clock,man money
11/15/2016 13:49:59,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Woman is having her picture taken by the sea.,girl camera,There's a chateau with a person or two walking past it.,castle man,A clerk is counting paper money in a scene from several decades ago.,man money
11/15/2016 15:14:44,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Woman having a photoshoot by the beach,girl camera,An old building with a man passing by,castle man,Man counting money. ,man money
11/16/2016 1:47:55,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,The model had a photoshoot at the beach.,girl camera,A man is passing in front of the building.,man castle,The man is counting the money.,man money
11/15/2016 11:54:13,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A model is photographed by the beach.,girl camera,A man walks next to a university.,man castle,A lab worker counts some cash.,man money
11/15/2016 13:12:00,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman is getting her picture taken on the beach. ,girl camera,There's a man in red sanding in front of a castle. ,man castle,Dude is holding a wad of cash. ,man money
11/15/2016 13:14:17,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A woman poses for a beachside photoshoot.,girl camera,A man walks past a chateau.,man castle,A man counts his money.,man money
11/15/2016 13:17:13,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Woman on a beach being photographed,girl camera,Visitors admiring a large house,man castle,Man counting money,man money
11/15/2016 14:53:51,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A model is photographed on a beach.,girl camera,A man in a red shirt walks in front of a castle.,man castle,A man smiles while counting money in an old-fashioned shop.,man money
11/15/2016 17:44:36,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Model photo shoot on beach,girl camera,Guy by castle,man castle,Dr counts cash,man money
11/16/2016 11:38:14,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Girl being photographed on the beach,girl camera,Man walking in front of a castle,man castle,Man counting money,man money
11/15/2016 13:19:19,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A model is photographed on the beach.,girl camera,A man walks away from the manor house.,man castle,A man counts dollar bills.,man money
11/16/2016 2:51:07,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A woman being photographed by the sea,girl camera,Man walking near a mansion,man castle,Old picture of a worker counting money,man money
11/16/2016 4:45:11,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A model is being shoted,girl camera,A man is passing by a castle,man castle,Man counting money,man money
11/15/2016 13:14:30,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A girl posing and being shot,girl camera,A man in front (or next to) a big house,man castle,A man counting money,man money
11/15/2016 16:26:32,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Model having her picture taken,girl camera,Guy walking by a stately house,man castle,Man counting money,man money
11/15/2016 14:12:55,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Model gets photographed on beach,girl camera,Guy walks in front of castle,man castle,Guy is counting dollar bills,man money
11/16/2016 16:07:38,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A model photography,girl camera,Man walking around a castle,man castle,Counting the money,money
11/16/2016 4:39:32,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,money man,ğŸ’µğŸ‘¨,a girl has her picture taken at the beach,girl camera,a man walks in front of a mansion,man castle,a man counts money under a clock,man money
11/15/2016 16:32:41,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Scantily clad woman brightly lead near a stormy beach being photographed by two men.,girl camera man,Person walking to the right of a castle-looking building.,man castle,A doctor or pharmacist counting his bills.,man money
11/15/2016 13:36:39,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,"Female model in a photoshoot, with ph and assistant",girl camera man,Old refurbished manor that you can visit,castle,Pharmacist working at the counter ,man
