Timestamp,ManCameraGirlEmoji,EmojiChar,CastleManEmoji,EmojiChar2,ManMoneyEmoji,EmojiChar3,Sentence,ManCameraGirlWords,Sentence2,CastleManWords,Sentence3,ManMoneyWords
11/15/2016 13:18:42,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,The woman has her picture taken on the beach by the man.,girl camera man,The man walks near the mansion.,man castle,The man counts the money.,man money
11/15/2016 17:34:15,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Woman photographed by man with assistant holding reflector by the ocean. ,girl camera man,Man walking away from French chateau. ,man castle,Man behind counter next to cash register counting money.  ,man money
11/15/2016 18:21:44,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A woman is on a photoshoot at the beach.,girl camera man,A man is walking away from an old building on a pleasant day.,man castle,A man is counting money.,man money
11/15/2016 14:34:22,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A woman having her picture taken on the beach.,girl camera man,A stately home with visitors.,castle man,A man counting money.,man money
11/15/2016 14:41:43,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A woman asked a man to snap a photo of hers and then they became friends,girl man camera,A man was walking and suddenly he came across a beautiful building,man castle,A man is counting his money,man money
11/16/2016 2:09:12,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photographer ,man,Building ,castle,Man,man
11/15/2016 15:44:47,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,People talking pictures on the beach,man camera,A big house,castle,A doctor counting money,man money
11/15/2016 21:53:28,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,there's a photoshoot going on at the beach [but based on your set of emoji I guess it'd be some dudes are photographing a lady],man camera girl,there's this castle house thing [or i'm here/just got here- idk i need context],castle,there's this old pic of some guy counting money,man money
11/15/2016 22:53:42,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,"Photographer taking pictures of a model on a beach, with active waves in the background",man camera girl,Some ugly building.,castle,Pharmacist counting his money,man money
11/16/2016 0:36:26,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photographer taking pictures of a woman,man camera girl,A mansion,castle,A man counting bills,man money
11/15/2016 13:15:42,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A camera team are taking photos of a model on the beach,man camera girl,A castle with some people passing by,castle man,A man is sitting at a till and sorting money,man money
11/15/2016 13:24:24,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man takes a photograph of a woman on the beach.,man camera girl,There's a castel and a man beside it.,castle man,Man counting money,man money
11/15/2016 16:16:45,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Photographer shooting a model,man camera girl,Building with man in front of it,castle man,Man counting money ,man money
11/15/2016 17:19:14,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A camera team are taking photos of a model on the beach,man camera girl,Castle with person in front ,castle man,Man counting money,man money
11/15/2016 21:52:25,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a woman on a beach.,man camera girl,There is a big castle and a tourist is walking by it.,castle man,A man counts money next to a cash register.,man money
11/15/2016 23:38:51,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is taking a picture of a woman,man camera girl,There is a building and a man is walking near,castle man,A man is counting bank notes,man money
11/15/2016 14:34:04,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,People are photographing a woman on a beach.,man camera girl,A fancy building is visited by tourists.,castle man,A cashier counts his till.,man money
11/15/2016 12:18:41,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Someone is photographing a woman on a beach.,man camera girl,A man is walking past a castle.,man castle,A man is counting money.,man money
11/15/2016 12:46:12,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a woman on a beach,man camera girl,A man is walking past a building,man castle,A man is counting money,man money
11/15/2016 13:09:02,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,There's a man holding a screen and another man filming a woman on a beach.,man camera girl,There's a person walking by a fancy house.,man castle,"A guy is sitting at a desk, under a clock, counting money.",man money
11/15/2016 13:15:17,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Man photographs woman.,man camera girl,Man walks past building.,man castle,Man counts money.,man money
11/15/2016 13:26:14,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,man photographing model,man camera girl,guard stands outside castle,man castle,man counts money,man money
11/15/2016 13:26:44,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,people on beach doing a photoshoot of someone in a dress,man camera girl,guy in red shirt walking past castle,man castle,guy with a clock on his head counting money,man money
11/15/2016 13:29:10,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Man takes picture of woman,man camera girl,Person goes to castle,man castle,Man counts money,man money
11/15/2016 13:48:48,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Someone taking a picture of a woman ,man camera girl,Someone walking by a building ,man castle,A man counting money ,man money
11/15/2016 14:38:26,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A photographer is taking pictures of a woman by the sea,man camera girl,A man is walking by a building,man castle,A man is tearing up money,man money
11/15/2016 16:37:55,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Man photographs woman by ocean,man camera girl,Person walking by large house,man castle,Man counting money,man money
11/15/2016 17:13:00,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Woman being photographed on the beach.,man camera girl,A man in a red shirt walking away from a house that looks like a castle.,man castle,A man in a labcoat counting money.,man money
11/15/2016 18:25:10,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a woman at a shoot,man camera girl,People walking into a castle,man castle,A man sitting and counting money ,man money
11/15/2016 18:28:38,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,The men are photographing the model.,man camera girl,A pedestrian walks away from a building.,man castle,A man is counting money.,man money
11/15/2016 20:42:01,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,man photographing woman ,man camera girl,man in front of a mansion ,man castle,man counting money ,man money
11/15/2016 21:14:36,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Man photographing woman,man camera girl,Man walking toward building,man castle,Man counting money ,man money
11/16/2016 3:03:56,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a woman,man camera girl,Someone is walking away from a mansion,man castle,The man is counting money,man money
11/15/2016 12:33:03,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,a man photographs a woman on the beach,man camera girl,a man is walking near a castle,man castle,a man counts money,man money
11/15/2016 13:23:16,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a woman by the sea,man camera girl,A man in a red jacket walks beside an estate,man castle,A man in a lab coat counts money behind a desk,man money
11/16/2016 23:35:28,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,A man is photographing a model on the beach. ,man camera girl,Someone in a red jacket walking towards and old mansion. ,man castle,An old photo of a cashier counting money,man money
11/16/2016 11:40:43,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,i had a photo shoot at the bitch,man camera girl,i went to school,,he's counting money,man money
11/16/2016 7:14:45,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Two people photographing a woman on a beach,man camera girl,"A large, old building",castle,An old photograph of a scientist,man
11/15/2016 11:49:46,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A man is taking a photograph of a woman ,man camera girl,A man is walking away from a building (tbh I didn't notice the man till the emoji options),man,A man is counting money,man money
11/15/2016 11:51:49,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,The man photographs the woman.,man camera girl,The man walks away from a house.,man castle,The man counts money. ,man money
11/15/2016 11:57:14,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,guy photographing model ,man camera girl,guy walking away from building,man castle,guy with cash at desk ,man money
11/15/2016 12:27:40,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Man photographing a woman,man camera girl,Person walking into a building,man castle,Man counting money,man money
11/15/2016 13:10:44,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Men are photographing a lady.,man camera girl,A guy walks past a fancy house.,man castle,Irving counts his money.,man money
11/15/2016 13:59:32,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Two photographers take pictures of a woman on a beach ,man camera girl,A man walks past a mansion,man castle,The clerk counts the money ,man money
11/15/2016 14:28:55,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A photographer takes photos of a woman at a beach. ,man camera girl,A man walks away from a brick building. ,man castle,A man in a lab coat counts money. ,man money
11/15/2016 14:52:31,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A man photographs a woman on the beach,man camera girl,A man walks in past a big house,man castle,A man counts some cash,man money
11/15/2016 15:01:50,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,man taking picture of women on beach,man camera girl,red shirt man walking away from mansion,man castle,male store clerk counting money,man money
11/15/2016 15:50:24,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,A man takes a photo of woman.,man camera girl,A man walks in front of a castle.,man castle,A man counts money.,man money
11/15/2016 17:03:32,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,There's a guy taking a picture of a girl,man camera girl,There's a guy walking by a castle,man castle,There's a guy counting money,man money
11/16/2016 1:39:43,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Two photographers are taking pictures of a model.,man camera girl,A man is walking away from a manor house.,man castle,A person is counting money.,man money
11/16/2016 7:05:36,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Un fotÃ³grafo hace una foto a una modelo,man camera girl,Un hombre pasa por delante de un palacio,man castle,Un tendero cuenta el dinero ,man money
11/16/2016 7:25:27,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,Men taking a photo of a woman at the beach,man camera girl,Man walking infront of mansion,man castle,Man counting money at till.,man money
11/16/2016 17:51:00,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,They are photographing a woman on the beach.,man camera girl,A man is walking away from a large building.,man castle,A man is counting money.,man money
11/15/2016 13:47:37,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,a man takes a photo of a woman,man camera girl,a man walks by a castle,man castle,a guy and sth?,man
11/15/2016 16:54:55,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,Two men are taking a photo of a model,man camera girl,A man is walking around an architecture,man castle,A man is counting money,man money
11/15/2016 17:00:02,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,The man is taking a picture of a model.,man camera girl,The man is walking by the castle.,man castle,The man is counting money.,man money
11/15/2016 15:17:10,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,A man making photos of a woman near the sea,man camera girl,A man walking around a castle,man castle,A man counting money,man money
11/15/2016 14:25:38,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,This scene shows a photographer snapping a picture of a female model.,man camera girl,A picture of a large house with a man standing in front of it.,castle man,Money being counted by a cashier.,money man
11/15/2016 11:57:02,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,money man,ğŸ’µğŸ‘¨,Two people photographing another person on a beach.,man camera girl,A person walking away from a large building.,man castle,A person counting money.,man money
11/15/2016 12:08:03,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,Dancing and enjoying ,,History ,,Money gives happiness ,money
11/15/2016 12:37:10,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,,,,,,
11/15/2016 13:13:45,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,,,,,,
11/15/2016 23:39:53,girl camera man,ğŸ’ƒğŸ“·ğŸ‘¨,castle man,ğŸ°ğŸš¶,man money,ğŸ‘¨ğŸ’µ,,,,,,
11/15/2016 12:11:59,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,,,,,,
11/15/2016 13:13:01,man camera girl,ğŸ‘¨ğŸ“·ğŸ’ƒ,man castle,ğŸš¶ğŸ°,man money,ğŸ‘¨ğŸ’µ,,,,,,
11/17/2016 19:26:55,other,"Other ordering of ğŸ“·, ğŸ’ƒ and ğŸ‘¨",castle man,ğŸ°ğŸš¶,money man,ğŸ’µğŸ‘¨,,,,,,
